ticker,asset_class,source_index,sector,company,source_url
MTLN.L,equity,ftse100,Multiline utilities,Metlen Energy & Metals,https://en.wikipedia.org/wiki/FTSE_100_Index
MTO.L,equity,ftse250,Support Services,Mitie,https://en.wikipedia.org/wiki/FTSE_250_Index
MTRO.L,equity,ftse250,Banks,Metro Bank,https://en.wikipedia.org/wiki/FTSE_250_Index
MUT.L,equity,ftse250,Investment Trusts,Murray Income Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
MYI.L,equity,ftse250,Investment Trusts,Murray International Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
N91.L,equity,ftse250,Financial Services,Ninety One,https://en.wikipedia.org/wiki/FTSE_250_Index
NAS.L,equity,ftse250,Investment Trusts,North Atlantic Smaller Companies Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
NBPE.L,equity,ftse250,Collective Investments,NB Private Equity Partners,https://en.wikipedia.org/wiki/FTSE_250_Index
NCC.L,equity,ftse250,Software and Computer Services,NCC Group,https://en.wikipedia.org/wiki/FTSE_250_Index
NG.L,equity,ftse100,Multiline utilities,National Grid plc,https://en.wikipedia.org/wiki/FTSE_100_Index
NWG.L,equity,ftse100,Banks,NatWest Group,https://en.wikipedia.org/wiki/FTSE_100_Index
NXT.L,equity,ftse100,General retailers,Next plc,https://en.wikipedia.org/wiki/FTSE_100_Index
OCDO.L,equity,ftse250,Food & drug retailers,Ocado Group,https://en.wikipedia.org/wiki/FTSE_250_Index
OCI.L,equity,ftse250,Investment Trusts,Oakley Capital Investments,https://en.wikipedia.org/wiki/FTSE_250_Index
ONT.L,equity,ftse250,Health Care,Oxford Nanopore Technologies,https://en.wikipedia.org/wiki/FTSE_250_Index
OSB.L,equity,ftse250,Banks,OSB Group,https://en.wikipedia.org/wiki/FTSE_250_Index
OXB.L,equity,ftse250,Pharmaceuticals and Biotechnology,Oxford Biomedica,https://en.wikipedia.org/wiki/FTSE_250_Index
OXIG.L,equity,ftse250,Electronic & Electrical Equipment,Oxford Instruments,https://en.wikipedia.org/wiki/FTSE_250_Index
PAF.L,equity,ftse250,Precious Metals and Mining,Pan African Resources,https://en.wikipedia.org/wiki/FTSE_250_Index
PAG.L,equity,ftse250,Financial Services,Paragon Banking Group,https://en.wikipedia.org/wiki/FTSE_250_Index
PAGE.L,equity,ftse250,Support Services,PageGroup,https://en.wikipedia.org/wiki/FTSE_250_Index
PCGH.L,equity,ftse250,Investment Trusts,Polar Capital Global Healthcare Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
PCT.L,equity,ftse100,Investment trusts,Polar Capital Technology Trust,https://en.wikipedia.org/wiki/FTSE_100_Index
PETS.L,equity,ftse250,Retailers,Pets at Home,https://en.wikipedia.org/wiki/FTSE_250_Index
PEY.L,equity,ftse250,Investment Trusts,Partners Group Private Equity,https://en.wikipedia.org/wiki/FTSE_250_Index
PFD.L,equity,ftse250,Food & Drug Retailers,Premier Foods,https://en.wikipedia.org/wiki/FTSE_250_Index
PHI.L,equity,ftse250,Investment Trusts,Pacific Horizon Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
PHP.L,equity,ftse250,Real Estate Investment Trusts,Primary Health Properties,https://en.wikipedia.org/wiki/FTSE_250_Index
PIN.L,equity,ftse250,Equity Investments,Pantheon International,https://en.wikipedia.org/wiki/FTSE_250_Index
PINT.L,equity,ftse250,Investment Trusts,Pantheon Infrastructure,https://en.wikipedia.org/wiki/FTSE_250_Index
PLUS.L,equity,ftse250,Financial Services,Plus500,https://en.wikipedia.org/wiki/FTSE_250_Index
PNL.L,equity,ftse250,Investment Trusts,Personal Assets Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
PNN.L,equity,ftse250,"Gas, Water & Multiutilities",Pennon Group,https://en.wikipedia.org/wiki/FTSE_250_Index
POLN.L,equity,ftse250,Financial Services,Pollen Street Group,https://en.wikipedia.org/wiki/FTSE_250_Index
PPET.L,equity,ftse250,Financial Services,Patria Private Equity Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
