ticker,asset_class,source_index,sector,company,security_code,source_url
4043.T,equity,nikkei225,UNKNOWN,TOKUYAMA CORP.,4043,https://indexes.nikkei.co.jp/en/nkave/index/component
4061.T,equity,nikkei225,UNKNOWN,"DENKA CO., LTD.",4061,https://indexes.nikkei.co.jp/en/nkave/index/component
4062.T,equity,nikkei225,UNKNOWN,"IBIDEN CO., LTD.",4062,https://indexes.nikkei.co.jp/en/nkave/index/component
4063.T,equity,nikkei225,UNKNOWN,"SHIN-ETSU CHEMICAL CO., LTD.",4063,https://indexes.nikkei.co.jp/en/nkave/index/component
4151.T,equity,nikkei225,UNKNOWN,"KYOWA KIRIN CO., LTD.",4151,https://indexes.nikkei.co.jp/en/nkave/index/component
4183.T,equity,nikkei225,UNKNOWN,"MITSUI CHEMICALS, INC.",4183,https://indexes.nikkei.co.jp/en/nkave/index/component
4188.T,equity,nikkei225,UNKNOWN,MITSUBISHI CHEMICAL GROUP CORP.,4188,https://indexes.nikkei.co.jp/en/nkave/index/component
4208.T,equity,nikkei225,UNKNOWN,UBE CORP.,4208,https://indexes.nikkei.co.jp/en/nkave/index/component
4307.T,equity,nikkei225,UNKNOWN,"NOMURA RESEARCH INSTITUTE, LTD.",4307,https://indexes.nikkei.co.jp/en/nkave/index/component
4324.T,equity,nikkei225,UNKNOWN,DENTSU GROUP INC.,4324,https://indexes.nikkei.co.jp/en/nkave/index/component
4385.T,equity,nikkei225,UNKNOWN,"MERCARI, INC.",4385,https://indexes.nikkei.co.jp/en/nkave/index/component
4452.T,equity,nikkei225,UNKNOWN,KAO CORP.,4452,https://indexes.nikkei.co.jp/en/nkave/index/component
4502.T,equity,nikkei225,UNKNOWN,"TAKEDA PHARMACEUTICAL CO., LTD.",4502,https://indexes.nikkei.co.jp/en/nkave/index/component
4503.T,equity,nikkei225,UNKNOWN,ASTELLAS PHARMA INC.,4503,https://indexes.nikkei.co.jp/en/nkave/index/component
4506.T,equity,nikkei225,UNKNOWN,"SUMITOMO PHARMA CO., LTD.",4506,https://indexes.nikkei.co.jp/en/nkave/index/component
4507.T,equity,nikkei225,UNKNOWN,"SHIONOGI & CO., LTD.",4507,https://indexes.nikkei.co.jp/en/nkave/index/component
4519.T,equity,nikkei225,UNKNOWN,"CHUGAI PHARMACEUTICAL CO., LTD.",4519,https://indexes.nikkei.co.jp/en/nkave/index/component
4523.T,equity,nikkei225,UNKNOWN,"EISAI CO., LTD.",4523,https://indexes.nikkei.co.jp/en/nkave/index/component
4543.T,equity,nikkei225,UNKNOWN,TERUMO CORP.,4543,https://indexes.nikkei.co.jp/en/nkave/index/component
4568.T,equity,nikkei225,UNKNOWN,"DAIICHI SANKYO CO., LTD.",4568,https://indexes.nikkei.co.jp/en/nkave/index/component
4578.T,equity,nikkei225,UNKNOWN,"OTSUKA HOLDINGS CO., LTD.",4578,https://indexes.nikkei.co.jp/en/nkave/index/component
4661.T,equity,nikkei225,UNKNOWN,"ORIENTAL LAND CO., LTD.",4661,https://indexes.nikkei.co.jp/en/nkave/index/component
4689.T,equity,nikkei225,UNKNOWN,LY CORP.,4689,https://indexes.nikkei.co.jp/en/nkave/index/component
4704.T,equity,nikkei225,UNKNOWN,TREND MICRO INC.,4704,https://indexes.nikkei.co.jp/en/nkave/index/component
4751.T,equity,nikkei225,UNKNOWN,"CYBERAGENT, INC.",4751,https://indexes.nikkei.co.jp/en/nkave/index/component
4755.T,equity,nikkei225,UNKNOWN,"RAKUTEN GROUP, INC.",4755,https://indexes.nikkei.co.jp/en/nkave/index/component
4901.T,equity,nikkei225,UNKNOWN,FUJIFILM HOLDINGS CORP.,4901,https://indexes.nikkei.co.jp/en/nkave/index/component
